L,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,n,sector_r,teacher_seed,m2_noiseless_mean,m2_baseline,log_decay,lambda_w,gamma_L,D_M,lambda_coh
4,depol,0.1,0.025,0.0001078985808331,8.755543255737853e-06,0.1544636469934086,0.4782316666947949,0.388885717738509,1.6525263486601687e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,1.1928934043133428,6.647586339771916,0.1,1.1928934043133428,6.647586339771916
4,depol,0.2,0.05,3.32555425996284e-05,2.6985558056078867e-06,0.2866834516201808,0.7183354199465444,0.5951860169600887,1.836671304805951e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,2.369863675942824,6.647586339771916,0.2,2.369863675942824,6.647586339771916
4,depol,0.3,0.075,1.0439305493441588e-05,8.471083688213837e-07,0.3996137237499999,0.8424988207388627,0.7122515464576918,1.8343657627592611e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,3.5285070672533387,6.647586339771916,0.3,3.5285070672533387,6.647586339771916
4,dephase,0.01,0.0025,0.0003417176424841,2.7729035701092603e-05,0.009975,0.0393069564245633,0.0,9.514050889814284e-17,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.0401003345883355,3.995999999999889,0.01,0.0401003345883355,3.995999999999889
4,dephase,0.03,0.0075,0.0003151901228629,2.55764323608328e-05,0.0297749999999995,0.1138854984574246,0.0,1.3729361639923947e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.1209091024804533,3.995999999999889,0.03,0.1209091024804533,3.995999999999889
4,dephase,0.05,0.0125,0.0002904823043573,2.357149057188375e-05,0.0493749999999995,0.1833481963377367,0.0,1.6422654164002352e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.2025424638744268,3.995999999999889,0.05,0.2025424638744268,3.995999999999889
4,dephase,0.1,0.025,0.0002359780444669,1.9148685365289813e-05,0.0975000000000003,0.3365795687109388,0.0,1.830260761012727e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.4103463551003739,3.995999999999889,0.1,0.4103463551003739,3.995999999999889
4,dephase,0.2,0.05,0.0001531167953714,1.2424822594546246e-05,0.1900000000000008,0.5695327900000018,2.220446049250313e-15,2.0038516605125406e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.842884125262866,3.995999999999889,0.2,0.842884125262866,3.995999999999889
4,dephase,0.3,0.075,9.692463210629048e-05,7.865050702247839e-06,0.2774999999999996,0.727509474960937,0.0,1.7284433979273244e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,1.3001514359819804,3.995999999999889,0.3,1.3001514359819804,3.995999999999889
4,x_err,0.01,0.0025,0.0003031722421768,2.4601142576148584e-05,0.0198044029525333,0.0763741809060414,0.076048266372962,0.0098010522912051,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.159784023849843,7.973049945035338,0.01,0.159784023849843,7.973049945035338
4,x_err,0.03,0.0075,0.0002205358159021,1.78950389878889e-05,0.0582609066462815,0.2094140593478888,0.206889265258459,0.0283910851823229,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.4780250117868074,7.973049945035338,0.03,0.4780250117868074,7.973049945035338
4,x_err,0.05,0.0125,0.0001607190150125,1.304054582585886e-05,0.0952273282896153,0.3201724710513025,0.3141353262596186,0.0456858019628886,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.7944275319836377,7.973049945035338,0.05,0.7944275319836377,7.973049945035338
4,x_err,0.1,0.025,7.349607566138574e-05,5.961726031661282e-06,0.1814742322387295,0.5240121610742634,0.5074050681952675,0.083661701701963,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,1.576853111447062,7.973049945035338,0.1,1.576853111447062,7.973049945035338
4,x_err,0.2,0.05,1.601211678773885e-05,1.2973078329034569e-06,0.3301466302904337,0.7436822871472724,0.7122515464576937,0.1400650505672629,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,3.100739389011248,7.973049945035338,0.2,3.100739389011248,7.973049945035338
4,x_err,0.3,0.075,3.712033696040836e-06,3.001079474066312e-07,0.451638925779139,0.8431497217927622,0.8098551319514037,0.1755469833701101,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,4.5625052313983705,7.973049945035338,0.3,4.5625052313983705,7.973049945035338
5,amp_damp,0.01,0.002,0.0007092664750684,6.926004698655058e-05,0.002,0.0099600799200316,0.0099600799200314,5.2881931484344215e-17,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.0200200267067938,0.99999999999989,0.01,0.0200200267067938,0.99999999999989
5,amp_damp,0.03,0.006,0.0006813462400034,6.653362911617903e-05,0.0060000000000002,0.0296421535277766,0.0296421535277763,8.330324718889044e-17,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.0601807232555998,0.99999999999989,0.03,0.0601807232555998,0.99999999999989
5,amp_damp,0.05,0.01,0.0006544190990485,6.390418713166965e-05,0.0100000000000001,0.0490099500999999,0.0490099500999998,9.991808845015623e-17,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.1005033585349788,0.99999999999989,0.05,0.1005033585349788,0.99999999999989
5,amp_damp,0.1,0.02,0.000591241318151,5.7734861176933495e-05,0.02,0.0960792031999996,0.0960792031999997,1.2506338973862406e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.2020270731752251,0.99999999999989,0.1,0.2020270731752251,0.99999999999989
5,amp_damp,0.2,0.04,0.0004810789451564,4.697747816510897e-05,0.0400000000000001,0.1846273024000004,0.1846273024000001,1.607571110527141e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.4082199452025286,0.99999999999989,0.2,0.4082199452025286,0.99999999999989
