seed,n,L,sector_r,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,gamma_L
3,8,4,1,x_err,0.05,0.0125,0.0002270410860902,2.8191259016692234e-05,0.0952273282896153,0.3201724710513025,0.3141353262596186,0.0456858019628886,1,0,40,4,0.05
3,8,4,1,x_err,0.1,0.025,0.0001034102210335,1.283916782330621e-05,0.1814742322387295,0.5240121610742634,0.5074050681952675,0.083661701701963,1,0,40,4,0.1
3,8,4,1,x_err,0.2,0.05,2.215306304757894e-05,2.7494736994554527e-06,0.3301466302904337,0.7436822871472724,0.7122515464576937,0.1400650505672629,1,0,40,4,0.2
3,8,4,1,x_err,0.3,0.075,4.985432303947538e-06,6.183388779548759e-07,0.451638925779139,0.8431497217927622,0.8098551319514037,0.1755469833701101,1,0,40,4,0.3
4,8,4,1,amp_damp,0.01,0.0025,0.0034067427078314,0.000285997351501,0.0025,0.0099625624609376,0.0099625624609374,5.73748456934819e-17,1,0,40,4,0.01
4,8,4,1,amp_damp,0.03,0.0075,0.0032725042827768,0.0002747279844464,0.0075,0.0296641843359373,0.0296641843359373,9.025654603166192e-17,1,0,40,4,0.03
4,8,4,1,amp_damp,0.05,0.0125,0.0031429171623425,0.0002638490961911,0.0125,0.0490702880859372,0.0490702880859372,1.0809600230852083e-16,1,0,40,4,0.05
4,8,4,1,amp_damp,0.1,0.025,0.0028383962586423,0.0002382844500162,0.025,0.0963121093750003,0.0963121093750001,1.364210647772177e-16,1,0,40,4,0.1
4,8,4,1,amp_damp,0.2,0.05,0.0023058175609645,0.0001935742649318,0.0500000000000001,0.1854937500000005,0.1854937500000004,1.7307285496990296e-16,1,0,40,4,0.2
4,8,4,1,amp_damp,0.3,0.075,0.0018628160108361,0.0001563841155976,0.075,0.2679058593749999,0.2679058593749996,2.018966051629226e-16,1,0,40,4,0.3
4,8,4,1,depol,0.01,0.0025,0.0030806992941787,0.000258658149044,0.0165394796642953,0.064346885146609,0.05155545379683,7.981531492645883e-17,1,0,40,4,0.01
4,8,4,1,depol,0.03,0.0075,0.0024212795484925,0.0002033442242837,0.0488658534211349,0.1801084042384908,0.1447537389807186,1.181974292235372e-16,1,0,40,4,0.03
4,8,4,1,depol,0.05,0.0125,0.0019040301547634,0.0001599458729886,0.0802118366585569,0.2806217384164855,0.2262625547445147,1.400773959050423e-16,1,0,40,4,0.05
4,8,4,1,depol,0.1,0.025,0.0010467096432769,8.798651070775879e-05,0.1544636469934086,0.4782316666947949,0.388885717738509,1.6525263486601687e-16,1,0,40,4,0.1
4,8,4,1,depol,0.2,0.05,0.0003200590010694,2.694283760724221e-05,0.2866834516201808,0.7183354199465444,0.5951860169600887,1.836671304805951e-16,1,0,40,4,0.2
4,8,4,1,depol,0.3,0.075,9.960957488333652e-05,8.398324634564498e-06,0.3996137237499999,0.8424988207388627,0.7122515464576918,1.8343657627592614e-16,1,0,40,4,0.3
